food_name,calories,fat,sat_fat,carbs,sugar,protein,fiber,cholesterol,sodium,sodium_pct_daily,cholesterol_pct_daily,sat_fat_pct_daily,fat_pct_daily,carbs_pct_daily,fiber_pct_daily,sugar_pct_meal_limit,risk_level,risk_label,chatbot_summary
cream cheese,51,5.0,2.9,0.8,0.5,0.9,0.0,14.6,0.016,0.0007999999999999999,4.866666666666666,14.499999999999998,7.6923076923076925,0.2666666666666667,0.0,5.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
neufchatel cheese,215,19.4,10.9,3.1,2.7,7.8,0.0,62.9,0.3,0.015,20.96666666666667,54.50000000000001,29.846153846153843,1.0333333333333332,0.0,27.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
requeijao cremoso light catupiry,49,3.6,2.3,0.9,3.4,0.8,0.1,0.0,0.0,0.0,0.0,11.5,5.538461538461538,0.3,0.4,34.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
ricotta cheese,30,2.0,1.3,1.5,0.091,1.5,0.0,9.8,0.017,0.00085,3.266666666666667,6.5,3.076923076923077,0.5,0.0,0.91,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
cream cheese low fat,30,2.3,1.4,1.2,0.9,1.2,0.0,8.1,0.046,0.0023,2.7,6.999999999999999,3.5384615384615383,0.4,0.0,9.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
cream cheese fat free,19,0.2,0.1,1.4,1.0,2.8,0.0,2.2,0.1,0.005,0.7333333333333334,0.5,0.3076923076923077,0.4666666666666666,0.0,10.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
gruyere cheese,116,9.1,5.3,0.1,0.1,8.3,0.0,30.8,0.2,0.01,10.266666666666667,26.5,13.999999999999998,0.03333333333333334,0.0,1.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
cheddar cheese,113,9.3,5.3,0.9,0.1,6.4,0.0,27.7,0.2,0.01,9.233333333333334,26.5,14.30769230769231,0.3,0.0,1.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
parmesan cheese,71,4.5,2.7,0.6,0.046,6.4,0.0,12.2,0.2,0.01,4.066666666666666,13.5,6.923076923076923,0.2,0.0,0.45999999999999996,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
romano cheese,19,1.3,0.9,0.2,0.088,1.6,0.0,5.2,0.008,0.00039999999999999996,1.7333333333333332,4.5,2.0,0.06666666666666668,0.0,0.8799999999999999,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
parmesan cheese grated,21,1.4,0.8,0.7,0.075,1.4,0.0,4.3,0.043,0.0021499999999999996,1.4333333333333333,4.0,2.1538461538461537,0.2333333333333333,0.0,0.75,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
port salut cheese,465,37.2,22.0,0.8,0.8,31.4,0.0,162.4,0.7,0.034999999999999996,54.13333333333333,110.00000000000001,57.23076923076924,0.2666666666666667,0.0,8.0,Medium,1,ไขมันอิ่มตัวถึงหรือเกินเกณฑ์อ้างอิงต่อวัน
swiss cheese,98,7.7,4.6,0.4,0.0,6.7,0.0,23.3,0.057,0.00285,7.7666666666666675,23.0,11.846153846153847,0.13333333333333336,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
goat cheese hard,128,10.1,7.0,0.6,0.6,8.6,0.0,29.7,0.076,0.0038000000000000004,9.899999999999999,35.0,15.538461538461537,0.2,0.0,6.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
gouda cheese,100,7.7,4.9,0.6,0.6,7.0,0.0,31.9,0.2,0.01,10.633333333333333,24.500000000000004,11.846153846153847,0.2,0.0,6.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
pepper jack cheese lucerne,75,6.0,4.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,20.0,9.230769230769232,0.0,10.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
caraway cheese,106,8.3,5.3,0.9,0.0,7.1,0.0,26.3,0.2,0.01,8.766666666666667,26.5,12.769230769230772,0.3,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
gjetost cheese,1058,67.0,43.5,96.8,0.0,21.9,0.0,213.4,1.4,0.06999999999999999,71.13333333333334,217.49999999999997,103.07692307692307,32.266666666666666,0.0,0.0,Medium,1,ไขมันอิ่มตัวถึงหรือเกินเกณฑ์อ้างอิงต่อวัน
tilsit cheese,136,10.4,6.7,0.8,0.0,9.8,0.0,40.8,0.3,0.015,13.599999999999998,33.5,16.0,0.2666666666666667,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
goat cheese,103,8.4,5.8,0.009,0.031,6.1,0.0,22.4,0.1,0.005,7.466666666666666,28.999999999999996,12.923076923076923,0.0029999999999999996,0.0,0.31,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
brick cheese,111,8.9,5.6,0.8,0.2,7.0,0.0,28.2,0.2,0.01,9.4,27.999999999999996,13.692307692307693,0.2666666666666667,0.0,2.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
asadero cheese,402,31.9,20.3,3.2,3.2,25.5,0.0,118.7,0.7,0.034999999999999996,39.56666666666667,101.50000000000001,49.07692307692307,1.0666666666666669,0.0,32.0,Medium,1,ไขมันอิ่มตัวถึงหรือเกินเกณฑ์อ้างอิงต่อวัน
camembert cheese,90,7.3,4.6,0.1,0.1,5.9,0.0,21.6,0.3,0.015,7.200000000000001,23.0,11.23076923076923,0.03333333333333334,0.0,1.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
provolone cheese reduced fat,310,19.9,12.8,4.0,0.6,27.9,0.0,62.2,1.0,0.05,20.733333333333334,64.0,30.61538461538461,1.3333333333333335,0.0,6.0,Low,0,ยังไม่พบตัวชี้วัดที่ถึงหรือเกินเกณฑ์อ้างอิง
